car,price,body,mileage,engV,engType,registration,year,model,drive
Chery,11111.295,crossover,1,1.6,Petrol,yes,2016,Tiggo,front
Mitsubishi,25342.2,other,1,2.5,Diesel,yes,2016,L 200,full
Chevrolet,10577.775,crossover,1,1.7,Petrol,yes,2015,Niva,full
Peugeot,16042.65,hatch,1,1.6,Diesel,yes,2015,308,front
Mercedes-Benz,4700,sedan,1,1.8,Petrol,yes,1996,C-Class,rear
Mercedes-Benz,129999,crossover,1,2.99,Diesel,yes,2016,GLS 350,full
Bentley,0,crossover,1,6,Petrol,yes,2016,Bentayga,full
Hyundai,28400,crossover,1,2,Petrol,yes,2016,Tucson,full
Skoda,6600,vagon,1,1.4,Gas,yes,2007,Fabia,front
BMW,6500,sedan,1,3.5,Petrol,yes,1999,535,rear
Nissan,14931.15,sedan,1,1.6,Petrol,yes,2015,Sentra,front
BMW,77500,crossover,1,3,Petrol,yes,2016,X6,full
Opel,3750,sedan,1,2,Petrol,yes,1995,Omega,rear
Volkswagen,6799,hatch,1,1.4,Gas,yes,1998,Golf IV,front
BMW,0,crossover,1,3,Diesel,yes,2016,X6,full
Mitsubishi,27565.2,crossover,1,2.5,Diesel,yes,2016,Pajero Sport,full
Toyota,11707.8,hatch,1,1,Petrol,yes,2016,Yaris,front
ZAZ,6061.38,sedan,1,1.3,Gas,yes,2015,Sens,front
Renault,2400,hatch,1,2,Petrol,no,2002,Laguna,front
Mercedes-Benz,0,crossover,1,3,Diesel,yes,2016,GL 350,full
VAZ,1150,sedan,1,1.3,Petrol,yes,1989,2107,rear
Mercedes-Benz,4100,crossover,1,3.5,Petrol,yes,2007,ML 350,full
VAZ,1299,vagon,1,1.5,Other,yes,2002,2104,
VAZ,460,sedan,1,1.8,Petrol,yes,1981,2101,rear
VAZ,2800,sedan,1,1.6,Petrol,yes,2005,2110,
Mercedes-Benz,169000,other,1,4.7,Petrol,yes,2015,S 500,full
BMW,77500,crossover,1,3,Petrol,yes,2016,X6,
BMW,56500,crossover,1,2,Diesel,yes,2016,X5,
MINI,32444,hatch,1,1.5,Petrol,yes,2016,Cooper,rear
Mazda,1800,hatch,1,1.8,Other,no,2009,3,front
Opel,1100,sedan,1,1.3,Petrol,yes,1988,Kadett,front
Renault,2650,vagon,1,1,Diesel,no,2006,Laguna,front
Volkswagen,0,van,1,1.8,Diesel,yes,2005,Caddy ����.,
Audi,2900,sedan,1,2.3,Gas,yes,1989,100,front
VAZ,900,sedan,1,1.4,Gas,yes,1986,2107,front
BMW,64500,crossover,1,2,Diesel,yes,2016,X5,full
Nissan,4400,sedan,1,2,Petrol,yes,1992,Primera,front
Chevrolet,5499,sedan,1,1.6,Gas,yes,2007,Aveo,front
Renault,6000,van,1,1.9,Diesel,yes,2005,Trafic ����.,front
VAZ,2900,crossover,1,1.6,Petrol,yes,1979,2121,full
Chery,13415.805,crossover,1,2,Petrol,yes,2016,Tiggo,front
Geely,9555.195,sedan,1,1.5,Petrol,yes,2015,Emgrand 7 (EC7),front
Citroen,14849.64,van,1,1.6,Diesel,yes,2016,Berlingo ����.,front
ZAZ,8584.485,sedan,1,1.5,Petrol,yes,2015,Vida,front
Volkswagen,6300,van,1,2.5,Diesel,yes,2000,T4 (Transporter) ����.,front
VAZ,1300,other,1,1.5,Petrol,yes,1988,2121,full
GAZ,0,other,1,1.8,Other,yes,1958,69,
Nissan,4000,sedan,1,2,Petrol,yes,1994,Maxima,front
Renault,4300,van,1,1.5,Diesel,yes,2003,Kangoo ����.,front
Hyundai,31500,crossover,1,2,Petrol,yes,2016,Tucson,full
GAZ,15000,sedan,1,12,Petrol,yes,1962,21,rear
Volkswagen,11818.95,sedan,1,1.6,Petrol,yes,2014,Polo,front
Volkswagen,10493,other,1,1.4,Petrol,yes,2014,Polo,front
Audi,43000,crossover,1,2,Petrol,yes,2016,Q3,full
Hyundai,39500,crossover,1,2.2,Diesel,yes,2014,Santa FE,full
Toyota,14000,sedan,1,1.8,Petrol,yes,2008,Avensis,front
BMW,60500,crossover,1,2,Diesel,yes,2016,X5,full
ZAZ,1250,hatch,1,1.2,Petrol,yes,2004,1103 �������,front
Nissan,2300,hatch,1,1.4,Other,yes,1992,Sunny,front
Opel,4300,sedan,1,2,Gas,yes,1995,Omega,rear
Opel,1800,sedan,1,2,Gas,no,1999,Omega,rear
Volkswagen,24300,sedan,1,1.6,Diesel,yes,2016,Jetta,front
BMW,0,sedan,1,3,Petrol,yes,2010,535,rear
Chevrolet,56000,other,1,2,Petrol,yes,2016,Camaro,rear
