,car,price,body,mileage,engV,engType,registration,year,model,drive
0,Chery,11111.295,crossover,1,1.6,Petrol,yes,2016,Tiggo,front
1,Mitsubishi,25342.2,other,1,2.5,Diesel,yes,2016,L 200,full
2,Chevrolet,10577.775,crossover,1,1.7,Petrol,yes,2015,Niva,full
3,Peugeot,16042.65,hatch,1,1.6,Diesel,yes,2015,308,front
4,Mercedes-Benz,4700.0,sedan,1,1.8,Petrol,yes,1996,C-Class,rear
5,Mercedes-Benz,129999.0,crossover,1,2.99,Diesel,yes,2016,GLS 350,full
6,Bentley,0.0,crossover,1,6.0,Petrol,yes,2016,Bentayga,full
7,Hyundai,28400.0,crossover,1,2.0,Petrol,yes,2016,Tucson,full
8,Skoda,6600.0,vagon,1,1.4,Gas,yes,2007,Fabia,front
9,BMW,6500.0,sedan,1,3.5,Petrol,yes,1999,535,rear
10,Nissan,14931.15,sedan,1,1.6,Petrol,yes,2015,Sentra,front
11,BMW,77500.0,crossover,1,3.0,Petrol,yes,2016,X6,full
12,Opel,3750.0,sedan,1,2.0,Petrol,yes,1995,Omega,rear
13,Volkswagen,6799.0,hatch,1,1.4,Gas,yes,1998,Golf IV,front
14,BMW,0.0,crossover,1,3.0,Diesel,yes,2016,X6,full
15,Mitsubishi,27565.2,crossover,1,2.5,Diesel,yes,2016,Pajero Sport,full
16,Toyota,11707.8,hatch,1,1.0,Petrol,yes,2016,Yaris,front
17,ZAZ,6061.38,sedan,1,1.3,Gas,yes,2015,Sens,front
18,Renault,2400.0,hatch,1,2.0,Petrol,no,2002,Laguna,front
19,Mercedes-Benz,0.0,crossover,1,3.0,Diesel,yes,2016,GL 350,full
20,VAZ,1150.0,sedan,1,1.3,Petrol,yes,1989,2107,rear
21,Mercedes-Benz,4100.0,crossover,1,3.5,Petrol,yes,2007,ML 350,full
22,VAZ,1299.0,vagon,1,1.5,Other,yes,2002,2104,
23,VAZ,460.0,sedan,1,1.8,Petrol,yes,1981,2101,rear
24,VAZ,2800.0,sedan,1,1.6,Petrol,yes,2005,2110,
25,Mercedes-Benz,169000.0,other,1,4.7,Petrol,yes,2015,S 500,full
26,BMW,77500.0,crossover,1,3.0,Petrol,yes,2016,X6,
27,BMW,56500.0,crossover,1,2.0,Diesel,yes,2016,X5,
28,MINI,32444.0,hatch,1,1.5,Petrol,yes,2016,Cooper,rear
29,Mazda,1800.0,hatch,1,1.8,Other,no,2009,3,front
30,Opel,1100.0,sedan,1,1.3,Petrol,yes,1988,Kadett,front
31,Renault,2650.0,vagon,1,1.0,Diesel,no,2006,Laguna,front
32,Volkswagen,0.0,van,1,1.8,Diesel,yes,2005,Caddy ����.,
33,Audi,2900.0,sedan,1,2.3,Gas,yes,1989,100,front
34,VAZ,900.0,sedan,1,1.4,Gas,yes,1986,2107,front
35,BMW,64500.0,crossover,1,2.0,Diesel,yes,2016,X5,full
36,Nissan,4400.0,sedan,1,2.0,Petrol,yes,1992,Primera,front
